surface,radius_mm,thickness_mm,glass,semi_diameter_mm,note
1,78.6901,6.2033,N-PSK53A,23.393,E1 front
2,130.5318,0.5005,AIR,22.545,
3,38.0925,14.7948,N-PSK53A,21.556,E2 (cem.)
4,-39.3940,2.3932,N-KZFS4,20.761,E3 (cem.)
5,68.9151,6.2905,AIR,16.894,
6,inf,3.1004,AIR,15.139,STOP
7,-48.4138,2.5893,N-KZFS4,14.926,E4 (cem.)
8,56.4485,12.2782,N-PSK53A,14.618,E5 (cem.)
9,-81.8148,4.3238,AIR,14.936,
10,55.5255,8.0748,N-PSK53A,14.541,E6
11,-83.5148,12.2502,AIR,13.877,
12,-27.4631,3.9988,N-SF6,9.979,E7 field flattener
13,-81.8267,18.5272,AIR,9.978,
