surface,radius_mm,thickness_mm,glass,semi_diameter_mm,note
1,179.5825,8.0000,N-PSK53A,23.384,E1 front
2,-538.7476,1.0000,AIR,22.679,
3,89.7913,10.0000,N-PSK53A,21.772,E2 (cem.)
4,-300.0000,4.0000,N-KZFS4,20.245,E3 (cem.)
5,216.3890,5.0000,AIR,18.964,
6,inf,6.0000,AIR,17.814,STOP
7,-115.9578,4.0000,N-KZFS4,17.552,E4 (cem.)
8,238.0000,10.0000,N-PSK53A,17.683,E5 (cem.)
9,-49.1666,2.0000,AIR,17.811,
10,224.4782,7.0000,N-PSK53A,16.540,E6
11,-359.1651,20.0000,AIR,15.571,
12,-149.9976,3.0000,N-SF6,9.718,E7 field flattener
13,249.9959,22.0000,AIR,9.262,
