surface,radius_mm,thickness_mm,glass,semi_diameter_mm,note
1,63.7261,7.7442,N-PSK53A,26.141,E1 front
2,136.9487,2.8808,AIR,25.102,
3,45.5751,13.0370,N-PSK53A,23.282,E2 (cem.)
4,-55.7234,5.2869,N-KZFS4,22.574,E3 (cem.)
5,73.1625,10.4945,AIR,17.828,
6,inf,3.6105,AIR,13.897,STOP
7,-34.9931,5.1773,N-KZFS4,13.462,E4 (cem.)
8,32.7921,10.9117,N-PSK53A,14.064,E5 (cem.)
9,-39.6776,1.2428,AIR,14.496,
10,56.3208,6.0644,N-PSK53A,13.928,E6
11,-113.7945,10.0299,AIR,13.374,
12,-32.9901,3.3360,N-SF6,10.222,E7 field flattener
13,-202.0446,19.1900,AIR,10.071,
