surface,radius_mm,thickness_mm,glass,semi_diameter_mm,note
1,60.1943,7.1155,N-PSK53A,24.957,E1 front
2,167.2769,0.5000,AIR,24.146,
3,52.3167,13.8351,N-PSK53A,22.965,E2 (cem.)
4,-41.5085,4.7059,N-KZFS4,22.210,E3 (cem.)
5,75.3261,8.4305,AIR,17.313,
6,inf,3.9244,AIR,14.367,STOP
7,-34.0273,4.5376,N-KZFS4,13.978,E4 (cem.)
8,36.5175,10.6570,N-PSK53A,14.906,E5 (cem.)
9,-41.5181,2.9888,AIR,15.347,
10,66.3951,7.4125,N-PSK53A,14.712,E6
11,-77.1329,11.2168,AIR,14.100,
12,-30.6323,3.9958,N-SF6,10.232,E7 field flattener
13,-150.0248,18.5302,AIR,10.092,
