surface,radius_mm,thickness_mm,glass,semi_diameter_mm,note
1,50.9698,7.0830,N-PSK53A,25.062,E1 front
2,121.4433,0.7252,AIR,24.261,
3,56.2958,14.0667,N-PSK53A,23.226,E2 (cem.)
4,-39.9248,4.7385,N-KZFS4,22.441,E3 (cem.)
5,72.7592,8.5918,AIR,17.289,
6,inf,3.9989,AIR,14.301,STOP
7,-33.0812,4.0312,N-KZFS4,13.872,E4 (cem.)
8,43.5108,10.0246,N-PSK53A,14.693,E5 (cem.)
9,-43.9256,2.9386,AIR,15.193,
10,58.0332,7.4615,N-PSK53A,14.797,E6
11,-70.2708,11.4246,AIR,14.264,
12,-29.5253,4.0000,N-SF6,10.227,E7 field flattener
13,-128.6336,18.5260,AIR,10.112,
